epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.822,2.30717,8.29729,0.00606,0.3808,0.51489,0.3885,0.17483,1.40195,6.51157,0.00385,0.000332709,0.000332709,0.000332709
2,328.311,1.94284,3.05754,0.00467,0.64702,0.66541,0.70562,0.32873,1.36388,2.8749,0.00366,0.000633073,0.000633073,0.000633073
3,480.019,1.91408,1.90056,0.00455,0.73638,0.71356,0.7858,0.38831,1.31836,1.11652,0.00351,0.000900438,0.000900438,0.000900438
4,631.341,1.90151,1.52844,0.00452,0.76993,0.78696,0.83273,0.38556,1.39088,3.19602,0.00369,0.0008515,0.0008515,0.0008515
5,782.151,1.88104,1.31064,0.00439,0.8443,0.81305,0.90204,0.45453,1.32017,0.81124,0.00347,0.000802,0.000802,0.000802
6,933.821,1.8685,1.21014,0.00438,0.88821,0.85656,0.92891,0.45344,1.35906,0.69961,0.00365,0.0007525,0.0007525,0.0007525
7,1085.42,1.84487,1.12589,0.00437,0.89705,0.8673,0.93399,0.46677,1.34045,0.69897,0.00355,0.000703,0.000703,0.000703
8,1236.67,1.83312,1.03734,0.00434,0.88969,0.8873,0.9426,0.4926,1.303,1.41738,0.00346,0.0006535,0.0006535,0.0006535
9,1387.83,1.81717,1.00686,0.00427,0.92036,0.91416,0.95686,0.49329,1.31868,0.61293,0.00348,0.000604,0.000604,0.000604
10,1539.14,1.79755,0.95537,0.0042,0.93856,0.91421,0.96868,0.51052,1.27637,0.8935,0.00338,0.0005545,0.0005545,0.0005545
11,1690.12,1.74256,0.79802,0.00459,0.87715,0.84538,0.92615,0.48637,1.29136,0.58205,0.00339,0.000505,0.000505,0.000505
12,1839.24,1.72249,0.72865,0.00455,0.96004,0.92175,0.97274,0.53172,1.25846,0.41153,0.00332,0.0004555,0.0004555,0.0004555
13,1987.85,1.70984,0.7233,0.00451,0.90876,0.93223,0.9601,0.5282,1.24672,2.17137,0.0033,0.000406,0.000406,0.000406
14,2136.85,1.67873,0.67326,0.00441,0.93613,0.94335,0.97296,0.54355,1.23929,0.38885,0.00323,0.0003565,0.0003565,0.0003565
15,2285.68,1.65703,0.66178,0.00435,0.94695,0.94342,0.97791,0.5433,1.23647,0.44185,0.00323,0.000307,0.000307,0.000307
16,2434.43,1.63923,0.63299,0.00426,0.95657,0.94007,0.97998,0.54901,1.22668,0.37726,0.00319,0.0002575,0.0002575,0.0002575
17,2583.41,1.61583,0.63552,0.00424,0.95692,0.9525,0.98066,0.54318,1.23655,0.36486,0.00322,0.000208,0.000208,0.000208
18,2731.65,1.60683,0.61833,0.00418,0.96126,0.94305,0.98041,0.55893,1.20724,0.35491,0.00314,0.0001585,0.0001585,0.0001585
19,2880.43,1.59485,0.59857,0.00411,0.96697,0.94596,0.98069,0.55022,1.21847,0.36047,0.00317,0.000109,0.000109,0.000109
20,3030.12,1.58226,0.59368,0.00414,0.95617,0.94801,0.98127,0.559,1.20441,0.35247,0.00313,5.95e-05,5.95e-05,5.95e-05
